
RUN = 351
subRunNo MAX = 1033
L1 count MAX = 330
TOTAL ENTRIES = 25448176
43279 761 40
43288 770 40
43298 780 40
43442 924 40
43453 935 40
43474 956 40
43478 960 40
43482 964 40
43514 996 40
43573 18 41
43596 41 41
43612 57 41
43616 61 41
43665 110 41
43673 118 41
43694 139 41
43752 197 41
43796 241 41
43798 243 41
43838 283 41
43880 325 41
43962 407 41
43968 413 41
43985 430 41
44016 461 41
44050 495 41
44057 502 41
44093 538 41
44104 549 41
44116 561 41
44136 581 41
44166 611 41
44187 632 41
44222 667 41
44228 673 41
44246 691 41
44273 718 41
44286 731 41
44303 748 41
44305 750 41
44316 761 41
44325 770 41
44335 780 41
44479 924 41
44490 935 41
44511 956 41
44515 960 41
44519 964 41
44551 996 41
44610 18 42
44633 41 42
44649 57 42
44653 61 42
44702 110 42
44710 118 42
44789 197 42
44833 241 42
44835 243 42
44875 283 42
44917 325 42
44999 407 42
45005 413 42
45022 430 42
45053 461 42
45087 495 42
45094 502 42
45130 538 42
45141 549 42
45153 561 42
45173 581 42
45203 611 42
45224 632 42
45259 667 42
45265 673 42
45283 691 42
45310 718 42
45323 731 42
45340 748 42
45342 750 42
45353 761 42
45362 770 42
45372 780 42
45402 810 42
45516 924 42
45527 935 42
45548 956 42
45552 960 42
45556 964 42
45588 996 42
45647 18 43
45670 41 43
45686 57 43
45690 61 43
45739 110 43
45747 118 43
45768 139 43
45826 197 43
45870 241 43
45872 243 43
45912 283 43
45954 325 43
46006 377 43
46036 407 43
46042 413 43
46059 430 43
46090 461 43
46124 495 43
46131 502 43
46167 538 43
46178 549 43
46190 561 43
46210 581 43
46240 611 43
46261 632 43
46302 673 43
46320 691 43
46347 718 43
46360 731 43
46377 748 43
46379 750 43
46390 761 43
46399 770 43
46409 780 43
46439 810 43
46564 935 43
46585 956 43
46589 960 43
46593 964 43
46625 996 43
46684 18 44
46707 41 44
46723 57 44
46727 61 44
46776 110 44
46784 118 44
46863 197 44
46907 241 44
46909 243 44
46949 283 44
46991 325 44
47043 377 44
47073 407 44
47079 413 44
47096 430 44
47127 461 44
47161 495 44
47168 502 44
47204 538 44
47215 549 44
47227 561 44
47247 581 44
47277 611 44
47298 632 44
47333 667 44
47339 673 44
47357 691 44
47384 718 44
47397 731 44
47414 748 44
47416 750 44
47420 754 44
47427 761 44
47436 770 44
47446 780 44
47476 810 44
47601 935 44
47622 956 44
47626 960 44
47630 964 44
47662 996 44
47721 18 45
47744 41 45
47760 57 45
47764 61 45
47813 110 45
47821 118 45
47842 139 45
47900 197 45
47944 241 45
47946 243 45
47986 283 45
48028 325 45
48080 377 45
48110 407 45
48116 413 45
48133 430 45
48164 461 45
48198 495 45
48205 502 45
48241 538 45
48252 549 45
48264 561 45
48284 581 45
48314 611 45
48335 632 45
48370 667 45
48376 673 45
48394 691 45
48421 718 45
48434 731 45
48451 748 45
48453 750 45
48464 761 45
48473 770 45
48483 780 45
48513 810 45
48627 924 45
48638 935 45
48659 956 45
48663 960 45
48667 964 45
48699 996 45
48758 18 46
48781 41 46
48797 57 46
48801 61 46
48850 110 46
48858 118 46
48879 139 46
48937 197 46
48981 241 46
48983 243 46
49023 283 46
49065 325 46
49147 407 46
49153 413 46
49170 430 46
49201 461 46
49235 495 46
49242 502 46
49278 538 46
49289 549 46
49301 561 46
49321 581 46
49351 611 46
49372 632 46
49407 667 46
49413 673 46
49431 691 46
49458 718 46
49471 731 46
49488 748 46
49490 750 46
49501 761 46
49510 770 46
49520 780 46
49664 924 46
49675 935 46
49696 956 46
49700 960 46
49704 964 46
49795 18 47
49818 41 47
49834 57 47
49838 61 47
49887 110 47
